,timestamp,bng_subscribers,device_name,vendor,model,os,version,hw_revision,role,ip_address
0,1759276801,1455.4754250193448,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
1,1759276921,1446.721880809631,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
2,1759277041,1512.5110898591959,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
3,1759277161,1468.672225411075,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
4,1759277281,1430.3142452310044,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
5,1759277401,1490.5494023248866,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
6,1759277521,1434.5369488657634,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
7,1759277641,1455.99284202233,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
8,1759277761,1428.3136373762666,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
9,1759277881,1468.2581180964132,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
10,1759278001,1448.7721020701943,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
11,1759278121,1493.4626549341542,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
12,1759278241,1478.1855358257305,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
13,1759278361,1483.019178168126,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
14,1759278481,1440.4409705169642,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
15,1759278601,1509.0547117070403,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
16,1759278721,1439.2452422711767,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
17,1759278841,1433.822257638253,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
18,1759278961,1457.8139330023432,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
19,1759279081,1456.201809197534,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
20,1759279201,1431.1226829659374,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
21,1759279321,1423.2633077596429,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
22,1759279441,1425.9164581232544,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
23,1759279561,1356.9840313511818,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
24,1759279681,1294.2196808312312,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
25,1759279801,1328.2102301418486,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
26,1759279921,1303.0924603279307,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
27,1759280041,1314.7087105468938,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
28,1759280161,1318.5025503611043,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
29,1759280281,1304.1783535899135,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
30,1759280401,1104.8589284298735,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
31,1759280521,1112.400342205,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
32,1759280641,1091.7275375920597,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
33,1759280761,1119.5512085096698,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
34,1759280881,1134.4498678377374,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
35,1759281001,1134.7843793577363,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
36,1759281121,1106.6373916555744,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
37,1759281241,1100.845534925674,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
38,1759281361,991.9096832831901,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
39,1759281481,938.2629691413887,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
40,1759281601,946.5890265726188,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
41,1759281721,936.0669669328445,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
42,1759281841,975.0742813088377,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
43,1759281961,960.6825352073658,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
44,1759282081,987.825059688828,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
45,1759282201,977.5120682752954,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
46,1759282321,973.2813548899019,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
47,1759282441,1006.9848221560685,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
48,1759282561,974.3622715250211,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
49,1759282681,938.463762011839,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
50,1759282801,1000.9152612478613,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
51,1759282921,1003.3935847287862,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
52,1759283041,950.4796501329622,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
53,1759283161,810.4010497849995,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
54,1759283281,854.3558671993108,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
55,1759283401,817.7055381639916,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
56,1759283521,838.1944259899209,PE-5,Juniper,MX960,Junos,21.3R1,hw3958888,PE,10.2.2.5
